央视秒开,#genre#
CCTV1,http://183.207.248.71/cntv/live1/HD-2500k-1080P-cctv1/HD-2500k-1080P-cctv1$1080P#rtmp://58.200.131.2:1935/livetv/cctv1hd$58云#http://39.135.135.30/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225710/index.m3u8$哈尔移动#http://play.tzjo.com/diao/atv/iptv.php?id=1$快看电视#http://scgctvshow.sctv.com/hdlive/cctv1/1.m3u8$四川多线#http://live-temp-litchi-hls-yf.jstv.com/live/zhibo-cctv1gq/online.m3u8$江苏荔枝#http://112.17.40.140/PLTV/88888888/224/3221226541/index.m3u8$阿里移动


CCTV2,http://cm.wshls.homecdn.com/live/11ecc.m3u8$CDN
CCTV2,http://play.tzjo.com/diao/atv/mg.php?id=672926537$快看电视
CCTV2,http://117.136.156.38/PLTV/88888888/224/3221225502/index.m3u8$阿里移动
CCTV2,http://play.tzjo.com/diao/atv/cctv.php?id=168&ip=0$快看电视1
CCTV2,http://39.134.168.82/PLTV/1/224/3221225550/index.m3u8$内蒙移动
CCTV2,http://play.tzjo.com/diao/atv/iptv.php?id=2$快看电视2
CCTV2,http://183.207.255.188/live/program/live/cctv2/1300000/mnf.m3u8$上海多线
CCTV2,http://play.tzjo.com/diao/atv/kds.php?id=cctv2hd&mod=aishang$快看电视3


CCTV3,http://play.tzjo.com/diao/atv/iptv.php?id=3$快看电视
CCTV3,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-3/index.m3u8?IAS$成都移动 
CCTV3,http://play.tzjo.com/diao/atv/kds.php?id=cctv3hd&mod=aishang$快看电视2
CCTV3,http://play.tzjo.com/diao/atv/mg.php?id=624878270$快看电视3


CCTV4,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-4/index.m3u8?IAS$成都移动
CCTV4,http://play.tzjo.com/diao/atv/iptv.php?id=4$快看电视
CCTV4,http://play.tzjo.com/diao/atv/mg.php?id=672924435$快看电视2
CCTV4,http://play.tzjo.com/diao/atv/kds.php?id=cctv4hd&mod=aishang$快看电视3

CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225711/index.m3u8$哈尔移动
CCTV5,http://117.136.156.42/PLTV/88888888/224/3221225780/index.m3u8$阿里移动
CCTV5,http://newvideo.dangtutv.cn:8278/CCTVsports/playlist.m3u8$当涂网
CCTV5,http://play.tzjo.com/diao/atv/cctv.php?id=165&ip=0$快看电视

CCTV5+,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hdcctv05plus/index.m3u8?IAS$成都移动
CCTV5+,http://116.199.5.52:8114/index.m3u8?Fsv_chan_hls_se_idx=36&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8$宁夏多线
CCTV5+,http://play.tzjo.com/diao/atv/cctv.php?id=154&ip=0$快看电视
CCTV5+,http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8$教育网

CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225751/index.m3u8$哈尔移动
CCTV6http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-6/index.m3u8?IAS$成都移动
CCTV6,http://cm.wshls.homecdn.com/live/11ee8.m3u8$CDN


CCTV7,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-7/index.m3u8?IAS$成都移动
CCTV7,http://125.210.152.18:9090/live/CCTV7HD_H265.m3u8$宁夏多线
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$哈尔移动
CCTV7,http://play.tzjo.com/diao/atv/iptv.php?id=7$快看电视

CCTV8,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-8/index.m3u8?IAS$成都移动
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225750/index.m3u8$哈尔移动
CCTV8,http://125.210.152.18:9090/live/CCTV8HD_H265.m3u8$宁夏多线
CCTV8,http://cm.wshls.homecdn.com/live/11ee0.m3u8$CDN
CCTV8,http://play.tzjo.com/diao/atv/iptv.php?id=8$快看电视

CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8$回看
CCTV9,http://play.tzjo.com/diao/atv/iptv.php?id=9$快看电视
CCTV9,http://39.135.34.150:8080/000000001000/1000000001000014583/1.m3u8?xtkg$南宁移动
